790839,675589,961070,20,7,2025,0,0,0,False 
539026,675589,961070,18,7,2025,0,0,0,False 
236550,652138,961070,22,8,2025,0,0,0,False 
133465,790507,961070,15,3,2025,0,0,0,False 
515666,461271,961070,9,10,2025,0,0,0,False 
671031,980149,961070,10,7,2025,0,0,0,False 
988563,980149,413408,2,6,2024,0,0,0,False 
291328,470375,961070,7,7,2025,0,0,0,False 
475030,671251,149661,29,3,2025,0,0,0,False 
806020,294198,685288,28,11,2024,0,0,0,False 
794829,71976,495906,26,11,2024,0,0,0,False 
707572,675589,828712,27,4,2024,0,0,0,False 
695971,666771,149661,7,2,2024,0,0,0,False 
445881,652138,961070,8,4,2024,0,0,0,False 
913025,675589,495906,14,4,2025,0,0,0,False 
